AnimalID,Sex,Season,Year,Kill_ID,Period,Start Date,Start time,End Date,End Time,StartStalk,StartCons,EndCons,StartLib,EndLib,StillnessPrior,MaternalStatus,# ind,Scavenger1,Scavenger2,Scavenger3,Pick up young?,Comments,Prey Species,Prey Age Class,Prey Age,Prey Sex,"If Male, antler condition",MarrowColor,MarrowConsistency
202,F,Summer,2019,142.0,Handling,2019-04-29,11:52:00,2019-04-30,11:53:00,,,,,,,,1,None,,,,,Mule Deer,Adult,5,Female,00:00:00,Pink-Red,Gelatinous
202,F,Summer,2019,142.0,Forage,2019-05-05,03:33:00,2019-05-05,03:59:00,,,,,,,,1,None,,,,,Mule Deer,Adult,5,Female,00:00:00,Pink-Red,Gelatinous
202,F,Summer,2019,142.0,Handling,2019-05-05,05:00:00,2019-05-05,11:27:00,,,,,,,,1,None,,,,,Mule Deer,Adult,5,Female,00:00:00,Pink-Red,Gelatinous
202,F,Late Winter,2018,951.0,Forage,2018-02-24,18:26:00,2018-02-24,20:41:00,,,,,,,,1,Coyote,,,,,Black-tailed Deer,Adult,6,Male,Unknown,0,Not Available
202,F,Late Winter,2018,951.0,Handling,2018-02-24,20:42:00,2018-02-25,03:57:00,,,,,,,,1,Coyote,,,,,Black-tailed Deer,Adult,6,Male,Unknown,0,Not Available
202,F,Summer,2019,143.0,Kill,2019-05-18,05:28:00,2019-05-18,05:29:00,,,,,,,,1,None,,,,,Mule Deer,Adult,6,Female,00:00:00,Pink-Red,Gelatinous
202,F,Summer,2019,143.0,Handling,2019-05-18,05:30:00,2019-05-20,23:42:00,,,,,,,,1,None,,,,,Mule Deer,Adult,6,Female,00:00:00,Pink-Red,Gelatinous
202,F,Late Winter,2016,314.0,Forage,2016-03-27,16:11:00,2016-03-29,08:34:00,,,,,,,Yearlings,4,Grizzly,,,,,Elk,Adult,7,Male,pedicel,pink-red,gelatinous
202,F,Late Winter,2016,314.0,Handling,2016-03-29,08:35:00,2016-03-31,04:38:00,,,,,,,Yearlings,4,Grizzly,,,,,Elk,Adult,7,Male,pedicel,pink-red,gelatinous
202,F,Early Winter,2018,88.0,Forage,2018-11-29,01:54:00,2018-12-01,04:09:00,,,,,,,,1,None,,,,,Elk,Adult,7,Female,00:00:00,0,Not Examined
202,F,Early Winter,2018,88.0,Handling,2018-12-01,04:10:00,2018-12-01,16:11:00,,,,,,,,1,None,,,,,Elk,Adult,7,Female,00:00:00,0,Not Examined
202,F,Late Winter,2017,821.0,Kill,2017-03-01,22:45:00,2017-03-01,22:45:00,,,,,,,Yearlings,5,None,,,,,Black-tailed Deer,Adult,8,Unknown,00:00:00,0,0
202,F,Late Winter,2017,821.0,Handling,2017-03-01,22:46:00,2017-03-04,00:33:00,,,,,,,Yearlings,5,None,,,,,Black-tailed Deer,Adult,8,Unknown,00:00:00,0,0
